term,source_union,is_training_seed,seed_level,representative_sentence,source_file,usage_rule,resource_class,intensity_dimension,in_embedding,rank_score,intensity_weight_0_5_1,max_seed_cosine,score_status
资产负债表,自动发现审核,False,,二是通过欧央行资产负债表扩张对银行提供流动性支持。,2012年第二季度中国货币政策执行报告.txt,,,,True,0.13714680892459546,0.7332245857620701,0.2570592761039734,统一RankSVM已评分
连续,自动发现审核,False,,近期国际三大评级公司连续下调了西班牙、 葡萄牙、希腊、爱尔兰等欧元区国家的主权评级。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.13246846994687117,0.7321186907182607,0.287890762090683,统一RankSVM已评分
再次,自动发现审核,False,,由于通胀压力持 续上升，7 月7 日，欧央行继4 月后再次提高基准利率，决定将主要 再融资利率、贷款便利利率和存款便利利率分别调高0.25 个百分点 至1.5%、2.25%和0.75%。,2011年第二季度中国货币政策执行报告.txt,,,,True,0.12524843087136797,0.7304119726998088,0.36709892749786377,统一RankSVM已评分
有效,自动发现审核,False,,进一步疏通货币政策传导机制，保持流动性合理充裕，保持信贷总量有效增长，保持货币供应量和社会融资规模增速同名义经济增速基本匹配。,2022_Q4_中国人民银行 货币政策 委员会 召开 2022 年 第四季度 例会.txt,,,,True,0.11627843207531076,0.7282915882516602,0.2228911817073822,统一RankSVM已评分
有力,自动发现审核,False,,总体来看，2021 年货币政策体现了灵活精准、合理适度的要求， 前瞻性、稳定性、针对性、有效性、自主性进一步提升，主要金融指 标在2020 年高基数基础上继续保持有力增长，金融对实体经济支持 力度稳固。,2021年第四季度中国货币政策执行报告.txt,,,,True,0.11186555531676681,0.7272484448284385,0.42605865001678467,统一RankSVM已评分
短暂,自动发现审核,False,,盈利指数在经历了上季的 短暂回落后，重新回归2009 年初以来的上行走势，上扬0.5 个百分 点至58.6%。,2011年第二季度中国货币政策执行报告.txt,,,,True,0.10903817996046147,0.7265800921484779,0.4001884460449219,统一RankSVM已评分
约束,自动发现审核,False,,成本约束上升是我国产业结构调整升级、 劳动力转移、收入分配体制和资源价格形成机制改革中必然伴随的问题，是企业 。,2011年第二季度中国货币政策执行报告.txt,,,,True,0.09667181000370509,0.7236568522314464,0.37719306349754333,统一RankSVM已评分
较低,人工程度候选,False,,,,仅限增幅/降幅/变化水平较低；一般状态水平另存,条件组合,conditional_level,True,0.09283393731899497,0.7227496318694759,0.588088870048523,统一RankSVM已评分
正在,自动发现审核,False,,考虑到欧元区正在恶化 的经济前景，欧央行7 月5 日宣布将主要再融资利率下调25 个基点 至0.75%的历史新低，同时宣布将贷款便利利率和存款便利利率分别 。,2012年第二季度中国货币政策执行报告.txt,,,,True,0.08184780174679193,0.7201526603935386,0.441673219203949,统一RankSVM已评分
一度,自动发现审核,False,,在8 月份欧央行购买意、西两国国债之后， 两国国债收益率曾一度回落。,2011年第三季度中国货币政策执行报告.txt,,,,True,0.0776690435616328,0.7191648593837681,0.37628841400146484,统一RankSVM已评分
集中,自动发现审核,False,,"质押式债券回购和同业拆借月加权平均利 率继6 月份分别达到年内最高点4.94%和4.56%后有所回落,受国庆节 前现金集中投放、商业银行季末指标考核等因素影响，9 月份较7、8 月份有所上升，分别为3.75%和3.74%，比6 月份分别低119 个和82 个基点，比上年12 月份分别高63 个和82 个基点。",2011年第三季度中国货币政策执行报告.txt,,,,True,0.0679966806581688,0.7168784457126347,0.3981110453605652,统一RankSVM已评分
有限,人工程度候选,False,,,,仅限改善有限/回升有限/下降空间有限；排除有限责任公司,条件组合,conditional_amplitude,True,0.059988173375643945,0.7149853446453063,0.5141364336013794,统一RankSVM已评分
缓慢,人工程度候选；自动发现审核,False,,美国经济温和增长，失业率缓慢回落，但 房地产市场仍然低迷，财政和贸易赤字问题严重；,2011年第一季度中国货币政策执行报告.txt,只表示变化速度或进程,速度,speed,True,0.05606111658367101,0.7140570423859619,0.47902700304985046,统一RankSVM已评分
物价,自动发现审核,False,,（三）物价上涨压力仍然较大 受主要经济体货币政策持续宽松和世界经济逐渐复苏的影响，国 际大宗商品价格持续上涨，全球通胀预期明显上升，国内输入性通胀 压力进一步加大。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.047978363527268635,0.7121463906379868,0.3530082702636719,统一RankSVM已评分
适时,自动发现审核,False,,行适时增强了公开市场操作利率弹性，不仅有助于加强通胀预期管 理，而且有利于发挥市场利率调节资金供求关系的作用。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.044668283426939986,0.7113639331899492,0.32020989060401917,统一RankSVM已评分
有助于,自动发现审核,False,,各地发展热情较高，投资动力较强，消费增长空间广 阔，城镇化发展有助于降低交易成本，推动劳动力等要素向效率更高 的部门转移和集聚，形成新的经济增长点，总体看经济持续增长的动 能依然充足。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.03358860260262094,0.7087448489019263,0.491111695766449,统一RankSVM已评分
创新,自动发现审核,False,,这一方面与 主要经济体政策预期变化、资本流动方向多变的环境有关，另一方面 则是随着金融发展和金融创新加快，银行体系流动性水平在引导货币 信贷和社会融资总量合理增长方面的作用更为重要。,2013年第四季度中国货币政策执行报告.txt,,,,True,0.030287348274527268,0.7079644777451598,0.30951088666915894,统一RankSVM已评分
较高,人工程度候选,False,,,,仅限增幅/降幅/变化水平较高；一般状态水平另存,条件组合,conditional_level,True,0.02919398166471017,0.7077060209038277,0.5601513385772705,统一RankSVM已评分
越来越,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,0.02861889002278204,0.7075700771426825,1.0,统一RankSVM已评分
同时,自动发现审核,False,,同时加快存款保险制度建设，建立市场化的风险处置机 制，防范系统性风险。,2012年第一季度中国货币政策执行报告.txt,,,,True,0.027451934629080837,0.7072942249241098,0.44544172286987305,统一RankSVM已评分
积极,自动发现审核,False,,三、引导涉农金融机构创新农村金融产品及服务方式，积极改善农村金融 服务。,2012年第一季度中国货币政策执行报告.txt,,,,True,0.022606390283615774,0.706148804829131,0.38909757137298584,统一RankSVM已评分
平稳,自动发现审核,False,,外币贷款平稳增长。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.0220496097423927,0.7060171895605581,0.4786880910396576,统一RankSVM已评分
提前,自动发现审核,False,,22 体系流动性的季节性因素较多、跨半年末资金需求旺盛的特点，通过调整公开市 场逆回购操作的期限品种提前投放跨半年末资金，维护货币市场利率在合理区间 平稳运行，保障中小银行等各类市场主体平稳度过半年末。,2019年第二季度中国货币政策执行报告.txt,,,,True,0.010537059307013763,0.7032957808450482,0.31416863203048706,统一RankSVM已评分
财政收入,自动发现审核,False,,二是发达经济体传统产业竞争力相对 弱化，受金融危机严重冲击后，经济复苏缓慢，财政收入增长难以弥补应对危机 有关的巨额财政支出缺口。,2011年第一季度中国货币政策执行报告.txt,,,,True,0.009717054246827395,0.7031019429174682,0.25277388095855713,统一RankSVM已评分
直接,自动发现审核,False,,美联储QE3 未安排冲销措 施，将直接增加银行体系流动性。,2012年第三季度中国货币政策执行报告.txt,,,,True,0.006149982873238445,0.7022587362640493,0.27533119916915894,统一RankSVM已评分
因素,自动发现审核,False,,国内经济金融领域的结构调整出现积极变化，但仍存在一些深层次问题和突出矛盾，国际经济金融形势错综复杂，外部不确定不稳定因素增多。,2019_Q2_中国人民银行 货币政策 委员会 召开 2019 年 第二季度 例会.txt,,,,True,-0.000806534516050901,0.7006143111508589,0.4360659718513489,统一RankSVM已评分
峰值,自动发现审核,False,,48 2016 年我国农村人口为5.9 亿人，较峰值下降2.7 亿人。,2017年第三季度中国货币政策执行报告.txt,,,,True,-0.013220183133206193,0.6976798952082204,0.29784488677978516,统一RankSVM已评分
延续,自动发现审核,False,,我国经济运行延续回升向好态势，高质量发展扎实推进，但仍面临有效需求不足、社会预期偏弱等挑战。,2024_Q1_中国人民银行 货币政策 委员会 召开 2024 年 第一季度 例会.txt,,,,True,-0.017724757907630576,0.6966150756341742,0.48141583800315857,统一RankSVM已评分
温和,人工程度候选；自动发现审核,False,,促进物价温和回升，保持物价在合理水平。,2024_Q1_中国人民银行 货币政策 委员会 召开 2024 年 第一季度 例会.txt,可全局候选；仍需确认修饰变化载体,全局幅度,amplitude,True,-0.0203847080705288,0.6959862999691497,0.47406819462776184,统一RankSVM已评分
切实,自动发现审核,False,,有效发挥结构性货币政策工具的精准滴灌作用，提高政策的“直达性”，继续用好1万亿元普惠性再贷款再贴现额度，落实好两项直达实体货币政策工具，确保普惠小微贷款应延尽延，切实提高普惠小微信用贷款发放比例。,2020_Q3_中国人民银行 货币政策 委员会 召开 2020 年 第三季度 例会.txt,,,,True,-0.026535606726781513,0.6945323120535003,0.3916315734386444,统一RankSVM已评分
可能会,自动发现审核,False,,当然也要看 到，当前农产品、服务业等领域的潜在价格上行压力依然存在，价格 改革也可能会增加上行压力，居民对房价变化和通胀的预期还不够稳 定。,2014年第一季度中国货币政策执行报告.txt,,,,True,-0.027309023217434544,0.69434948702353,0.5611744523048401,统一RankSVM已评分
有些,原始RankSVM Seed,True,2.0,,,,训练Seed,rank_anchor,True,-0.02812045849242084,0.6941576748754039,0.9999998807907104,统一RankSVM已评分
额外,自动发现审核,False,,同时，为进一 步增强金融机构支持结构调整的能力，加大对小微企业、“三农”以 及重大水利工程建设的支持力度，对小微企业贷款占比达到定向降准 标准的城市商业银行、非县域农村商业银行额外降低人民币存款准备 金率0.5 个百分点，对中国农业发展银行额外降低人民币存款准备金 率4 个百分点。,2014年第四季度中国货币政策执行报告.txt,,,,True,-0.029065792910248286,0.6939342108099749,0.3205687701702118,统一RankSVM已评分
大为,原始RankSVM Seed,True,4.0,,,,训练Seed,rank_anchor,True,-0.03948295957968721,0.6914717357637843,1.0,统一RankSVM已评分
反而,自动发现审核,False,,近几年 来我国储蓄率降幅明显超出投资率降幅，这就可能出现在投资增速总体趋缓的情 况下（实际）利率反而上升的情况，这反映出全社会投资和债务需求相对储蓄供 给过于旺盛，同时供给面的一些结构性因素也会对融资成本产生影响。,2014年第二季度中国货币政策执行报告.txt,,,,True,-0.065729787329709,0.6852673463720214,0.5266647338867188,统一RankSVM已评分
股市,自动发现审核,False,,消费形势持续向好，在股市上涨产生的财富效应 带动下，3 月份美国零售额连续9 个月增长。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.06816275668911491,0.6846922258497339,0.3212246894836426,统一RankSVM已评分
利于,自动发现审核,False,,该制度的建立有利于增强上市公司及与其相关的内幕信息知情人 的保密意识，为内幕交易稽查办案工作提供证据线索，是防控和打击 内幕交易的重要基础性工作。,2011年第四季度中国货币政策执行报告.txt,,,,True,-0.07064820876080179,0.6841046991354894,0.4439585208892822,统一RankSVM已评分
数量,自动发现审核,False,,受年初上涨行情带动投资者信心、新 开账户数量增加等因素影响，第一季度沪、深股市累计成交11.2 万 亿元，同比增长26.1%；,2013年第一季度中国货币政策执行报告.txt,,,,True,-0.07333784137174684,0.683468906947648,0.23531901836395264,统一RankSVM已评分
纷纷,自动发现审核,False,,受欧央行 扩大量化宽松货币政策影响，2015 年以来，加拿大、瑞士、丹麦、 澳大利亚等国央行纷纷下调政策利率，此外瑞士央行还放弃了欧元/ 瑞郎的汇率下限。,2014年第四季度中国货币政策执行报告.txt,,,,True,-0.08718045966711083,0.6801967022102237,0.4460142254829407,统一RankSVM已评分
相对,自动发现审核,False,,中国经济结构正在朝着预期的方向转变，服务业 等第三产业增长相对加快，内需特别是消费需求在带动经济增长中的 作用增强。,2012年第三季度中国货币政策执行报告.txt,,,,True,-0.09246209193682187,0.6789481969227471,0.7392032146453857,统一RankSVM已评分
甚至,自动发现审核,False,,35 可以在物价相对稳定甚至下降的情况下实现经济增长提速。,2013年第四季度中国货币政策执行报告.txt,,,,True,-0.0935567544630529,0.6786894337445836,0.6335093379020691,统一RankSVM已评分
准备金率,自动发现审核,False,,第四季度，受市场通胀预期有 所减弱以及存款准备金率下调等因素影响，货币市场利率有所回落。,2011年第四季度中国货币政策执行报告.txt,,,,True,-0.09731918450677048,0.6778000469861982,0.2498500496149063,统一RankSVM已评分
有可能,自动发现审核,False,,不过，随着美 欧量化宽松政策的实施，有可能释放出过剩流动性，加大跨境资本流动波动，推 动大宗商品价格上涨，进而加大通胀上升的风险。,2012年第三季度中国货币政策执行报告.txt,,,,True,-0.0996171680912746,0.6772568352461001,0.5044036507606506,统一RankSVM已评分
较快,人工程度候选；自动发现审核,False,,I 内容摘要 2017 年第三季度，中国经济保持平稳增长，结构持续优化，质 量效益提高，消费需求对经济增长的拉动作用保持强劲，进出口较快 增长，投资稳中略缓，就业基本稳定。,2017年第三季度中国货币政策执行报告.txt,只表示变化速度,速度,speed,True,-0.1041800915238339,0.676178222851108,0.47676539421081543,统一RankSVM已评分
较少,人工程度候选,False,,,,仅限增加/减少/少增等数量变化载体；排除主体数量较少,条件组合,conditional_amount,True,-0.10493649866825511,0.6759994185968417,0.6095463037490845,统一RankSVM已评分
助于,自动发现审核,False,,各地发展热情较高，投资动力较强，消费增长空间广 阔，城镇化发展有助于降低交易成本，推动劳动力等要素向效率更高 的部门转移和集聚，形成新的经济增长点，总体看经济持续增长的动 能依然充足。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.11063401215340539,0.6746526047051452,0.39052772521972656,统一RankSVM已评分
深化改革,自动发现审核,False,,继续通过深化改革增强市场机制的作用，完善货 币政策传导机制，提高金融资源配置效率，有效防范系统性金融风险， 促进经济持续健康发展。,2013年第三季度中国货币政策执行报告.txt,,,,True,-0.1312065079390795,0.6697895494121254,0.2523757517337799,统一RankSVM已评分
主动,自动发现审核,False,,新兴经济体需求旺盛，但为应对跨境资本大规模流动和经济过热等风 险，部分经济体主动收紧了宏观政策。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.13169019747306654,0.6696752118532342,0.32896310091018677,统一RankSVM已评分
相应,自动发现审核,False,,经国务院批准，2007 年1 月14 日 中国人民银行发布《公告》[2007 年第3 号]，内地金融机构经批准可以赴香港发 行人民币债券，所筹资金可汇入内地，中国人民银行相应扩大为香港人民币业务 14 。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.13479500079404616,0.6689412790148865,0.31950458884239197,统一RankSVM已评分
普遍,自动发现审核,False,,受国内政策持续紧缩、经济周期性下行以及外部需求下降等多重 因素影响，主要新兴经济体增长速度普遍放缓，面临稳增长、控通胀 和防止短期跨境资本流动大幅波动的挑战。,2011年第四季度中国货币政策执行报告.txt,,,,True,-0.1351460822494277,0.668858288183455,0.5383267998695374,统一RankSVM已评分
较慢,人工程度候选,False,,,,须与增长、恢复、改善等速度载体组合,速度,speed,True,-0.13554989224634156,0.6687628330494098,0.46653252840042114,统一RankSVM已评分
大幅度,人工程度候选；自动发现审核,False,,三是非金融企业债券和股票 融资均大幅度增加。,2015年第四季度中国货币政策执行报告.txt,可全局使用,全局幅度,amplitude,True,-0.14205661628497296,0.6672247329031786,0.45636728405952454,统一RankSVM已评分
可能,自动发现审核,False,,美日的高债务问题 也可能降低其潜在经济产出并加剧中长期通胀和货币贬值压力。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.15402226891747717,0.6643962170548751,0.5348721146583557,统一RankSVM已评分
远远,原始RankSVM Seed,True,3.0,,,,训练Seed,rank_anchor,True,-0.1695468464759836,0.6607264202614124,0.9999998807907104,统一RankSVM已评分
适度,自动发现审核,False,,综合运用多种货币政策工具，引导货币信贷平稳适度增长，保持合理的社会融资规模。,2012_Q1_中国人民银行 货币政策 委员会 召开 2012 年 第一季度 例会.txt,,,,True,-0.16957955206555786,0.6607186891094827,0.4536513686180115,统一RankSVM已评分
负债表,自动发现审核,False,,二是通过欧央行资产负债表扩张对银行提供流动性支持。,2012年第二季度中国货币政策执行报告.txt,,,,True,-0.1702237876469373,0.660566400671239,0.30162322521209717,统一RankSVM已评分
稳步,自动发现审核,False,,金融机构贷款利率稳步上升，3 月份非金融性企业及其他部门 。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.17022522168040272,0.6605660616854344,0.39257264137268066,统一RankSVM已评分
进一步,自动发现审核,False,,会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施稳健的货币政策，保持政策的连续性和稳定性，进一步增强政策的针对性、灵活性和前瞻性，把握好调控的力度、节奏和重点，根据形势变化适时适度进行预调微调，处理好保持经济平稳较快发展、调整经济结构和管理通胀预期之间的关系，加强系统性风险防范。,2011_Q4_中国人民银行 货币政策 委员会 召开 2011 年 第四季度 例会.txt,,,,True,-0.1727043783479421,0.659980023118218,0.4811135530471802,统一RankSVM已评分
较大,人工程度候选；自动发现审核,False,,各类资 管产品中，资金链上游的银行理财和公募基金市场份额较大，增长也较快，年末 增速分别达到10.6%和14.3%。,2025年第四季度中国货币政策执行报告.txt,优先较大+幅度/变化/压力；排除规模较大,条件组合,conditional_amplitude,True,-0.17271839958524823,0.659976708690401,0.6816054582595825,统一RankSVM已评分
大大,自动发现审核,False,,如亚洲经济体储蓄率普遍高于欧 美，居民习惯选择存款进行储蓄，从而大大增加了对货币的需求，其货币总量/GDP 也普遍较欧美更高。,2013年第一季度中国货币政策执行报告.txt,,,,True,-0.17565069971818306,0.6592835532351392,0.5061797499656677,统一RankSVM已评分
短期,自动发现审核,False,,2013 年6 月份，货币市场利率出现短期上行和波动， 这既是受外汇市场变化、节日现金投放、补缴准备金、税收清缴、一些监管政策 放大资金需求等多种因素叠加影响，也反映出商业银行在流动性风险控制和资产 负债管理方面存在一定不足。,2013年第二季度中国货币政策执行报告.txt,,,,True,-0.17652953745527267,0.6590758080712279,0.4331810772418976,统一RankSVM已评分
不断,自动发现审核,False,,内需对经济的拉动不断上升，外贸依存度显著下降，应对外部冲击的能力增强。,2018_Q2_中国人民银行 货币政策 委员会 召开 2018 年 第二季度 例会.txt,,,,True,-0.17659173478598164,0.6590611054769745,0.5992166996002197,统一RankSVM已评分
较多,人工程度候选,False,,,,仅限下降/减少/回落/多增等变化载体；排除问题较多,条件组合,conditional_amount,True,-0.18545277860672882,0.6569664764877114,0.6213152408599854,统一RankSVM已评分
偏好,自动发现审核,False,,受预期影响，8 月份市场风险偏好增加， 美国、德国、日本等主要避险国国债收益率略有回升，意大利和西班 牙等重债国国债收益率下降。,2012年第三季度中国货币政策执行报告.txt,,,,True,-0.19637744357657022,0.6543840358174331,0.3721282482147217,统一RankSVM已评分
一定,自动发现审核,False,,3 月末M2 增速出现一定上升， 主要是金融机构受考核要求强化的影响，季末时点存款增加突出。,2011年第一季度中国货币政策执行报告.txt,,,,True,-0.20094514920466724,0.6533042929771335,0.6046332120895386,统一RankSVM已评分
适当,自动发现审核,False,,适当增加支农支小再贷款再贴现额度，用足用好碳减排支持工具，设立科技创新和技术改造再贷款。,2024_Q1_中国人民银行 货币政策 委员会 召开 2024 年 第一季度 例会.txt,,,,True,-0.20141095088054023,0.6531941838620825,0.3619570732116699,统一RankSVM已评分
一点,原始RankSVM Seed,True,2.0,,,,训练Seed,rank_anchor,True,-0.20743106888927088,0.6517711106942976,0.9999998807907104,统一RankSVM已评分
低位,自动发现审核,False,,促进物价低位回升，保持物价在合理水平。,2023_Q3_中国人民银行 货币政策 委员会 召开 2023 年 第三季度 例会.txt,,,,True,-0.2128003577096984,0.6505018846028228,0.43758413195610046,统一RankSVM已评分
段性,自动发现审核,False,,虽然2011 年中国总体上仍呈外汇净流入，但第四 季度外汇占款出现阶段性减少。,2011年第四季度中国货币政策执行报告.txt,,,,True,-0.219335989600724,0.6489569510375423,0.3077724277973175,统一RankSVM已评分
高位,自动发现审核,False,,当前外部环境更趋复杂严峻，国际经济贸易投资放缓，通胀出现高位回落趋势，发达国家利率保持高位。,2023_Q4_中国人民银行 货币政策 委员会 召开 2023 年 第四季度 例会.txt,,,,True,-0.21934738547978633,0.648954257208336,0.46075353026390076,统一RankSVM已评分
比例,自动发现审核,False,,同时，中国融资结构趋于多元化发展，直接融资比例上升，债券、股票以及信托 委托贷款、外汇贷款等多渠道融资都发挥了重要作用，经济运行对增量货币的依 赖程度在下降。,2011年第三季度中国货币政策执行报告.txt,,,,True,-0.2201574185824392,0.6487627765144807,0.2632279396057129,统一RankSVM已评分
